Datum,Tid (UTC),Molnbas (lägsta molnbas)
2022-01-01,11:00:00,160
2022-01-01,12:00:00,120
2022-01-01,13:00:00,110
2022-01-01,14:00:00,80
2022-01-01,15:00:00,130
2022-01-01,16:00:00,230
2022-01-01,17:00:00,180
2022-01-01,18:00:00,240
2022-01-01,19:00:00,280
2022-01-01,20:00:00,270
2022-01-01,21:00:00,160
2022-01-01,22:00:00,480
2022-01-01,23:00:00,200
2022-01-02,00:00:00,120
2022-01-02,01:00:00,90
2022-01-02,02:00:00,70
2022-01-02,03:00:00,50
2022-01-02,04:00:00,50
2022-01-02,05:00:00,100
2022-01-02,06:00:00,100
2022-01-02,07:00:00,120
2022-01-02,08:00:00,60
2022-01-02,09:00:00,240
2022-01-02,10:00:00,50
2022-01-02,11:00:00,50
2022-01-02,12:00:00,220
2022-01-02,13:00:00,270
2022-01-02,14:00:00,330
2022-01-02,15:00:00,280
2022-01-02,16:00:00,250
2022-01-02,17:00:00,220
2022-01-02,18:00:00,250
2022-01-02,19:00:00,280
2022-01-02,20:00:00,270
2022-01-02,21:00:00,340
2022-01-02,22:00:00,280
2022-01-02,23:00:00,280
2022-01-03,00:00:00,260
2022-01-03,01:00:00,260
2022-01-03,02:00:00,400
2022-01-03,03:00:00,250
2022-01-03,04:00:00,210
2022-01-03,05:00:00,210
2022-01-03,06:00:00,230
2022-01-03,07:00:00,280
2022-01-03,08:00:00,180
2022-01-03,09:00:00,260
2022-01-03,10:00:00,170
2022-01-03,11:00:00,240
2022-01-03,12:00:00,370
2022-01-03,13:00:00,90
2022-01-03,14:00:00,390
2022-01-03,15:00:00,270
2022-01-03,16:00:00,320
2022-01-03,17:00:00,190
2022-01-03,18:00:00,170
2022-01-03,19:00:00,130
2022-01-03,20:00:00,570
2022-01-03,21:00:00,450
2022-01-04,05:00:00,3270
2022-01-04,09:00:00,750
2022-01-04,10:00:00,790
2022-01-04,11:00:00,850
2022-01-04,12:00:00,530
2022-01-04,13:00:00,800
2022-01-04,14:00:00,1320
2022-01-04,15:00:00,450
2022-01-04,16:00:00,640
2022-01-04,17:00:00,410
2022-01-04,18:00:00,650
2022-01-04,19:00:00,730
2022-01-04,20:00:00,730
2022-01-04,21:00:00,510
2022-01-04,22:00:00,610
2022-01-04,23:00:00,160
2022-01-05,00:00:00,70
2022-01-05,01:00:00,260
2022-01-05,02:00:00,750
2022-01-05,03:00:00,470
2022-01-05,04:00:00,720
2022-01-05,05:00:00,440
2022-01-05,06:00:00,440
2022-01-05,07:00:00,720
2022-01-05,08:00:00,730
2022-01-05,09:00:00,430
2022-01-05,10:00:00,500
2022-01-05,19:00:00,1310
2022-01-05,21:00:00,2980
2022-01-06,21:00:00,60
2022-01-06,22:00:00,70
2022-01-06,23:00:00,60
2022-01-07,00:00:00,80
2022-01-07,01:00:00,70
2022-01-07,02:00:00,80
2022-01-07,03:00:00,120
2022-01-07,04:00:00,120
2022-01-07,05:00:00,2090
2022-01-07,06:00:00,330
2022-01-07,07:00:00,1660
2022-01-07,08:00:00,1180
2022-01-07,09:00:00,1280
2022-01-07,10:00:00,500
2022-01-07,11:00:00,490
2022-01-07,12:00:00,350
2022-01-07,13:00:00,590
2022-01-07,14:00:00,450
2022-01-07,15:00:00,340
2022-01-07,16:00:00,470
2022-01-07,17:00:00,450
2022-01-07,18:00:00,510
2022-01-07,19:00:00,520
2022-01-07,20:00:00,560
2022-01-07,21:00:00,380
2022-01-07,22:00:00,170
2022-01-07,23:00:00,180
2022-01-08,00:00:00,250
2022-01-08,01:00:00,180
2022-01-08,02:00:00,240
2022-01-08,03:00:00,210
2022-01-08,04:00:00,170
2022-01-08,05:00:00,240
2022-01-08,06:00:00,370
2022-01-08,07:00:00,90
2022-01-08,08:00:00,330
2022-01-08,09:00:00,280
2022-01-08,10:00:00,240
2022-01-08,11:00:00,210
2022-01-08,12:00:00,240
2022-01-08,13:00:00,300
2022-01-08,14:00:00,340
2022-01-08,15:00:00,190
2022-01-08,16:00:00,330
2022-01-08,17:00:00,210
2022-01-08,18:00:00,200
2022-01-08,19:00:00,180
2022-01-08,20:00:00,180
2022-01-08,21:00:00,200
2022-01-08,22:00:00,210
2022-01-08,23:00:00,220
2022-01-09,00:00:00,230
2022-01-09,01:00:00,220
2022-01-09,02:00:00,280
2022-01-09,03:00:00,280
2022-01-09,04:00:00,250
2022-01-09,05:00:00,270
2022-01-09,06:00:00,270
2022-01-09,07:00:00,260
2022-01-09,08:00:00,1270
2022-01-09,09:00:00,330
2022-01-09,10:00:00,1460
2022-01-09,11:00:00,1500
2022-01-09,12:00:00,1470
2022-01-09,13:00:00,1470
2022-01-09,14:00:00,1490
2022-01-09,15:00:00,4770
2022-01-09,16:00:00,1520
2022-01-09,17:00:00,1570
2022-01-09,18:00:00,400
2022-01-09,19:00:00,420
2022-01-09,20:00:00,520
2022-01-09,21:00:00,570
2022-01-09,22:00:00,810
2022-01-09,23:00:00,640
2022-01-10,00:00:00,4740
2022-01-10,01:00:00,480
2022-01-10,02:00:00,550
2022-01-10,03:00:00,4460
2022-01-10,04:00:00,1200
2022-01-10,05:00:00,710
2022-01-10,06:00:00,1170
2022-01-10,08:00:00,720
2022-01-10,09:00:00,710
2022-01-10,10:00:00,740
2022-01-10,11:00:00,760
2022-01-10,12:00:00,780
2022-01-10,13:00:00,830
2022-01-10,14:00:00,850
2022-01-10,15:00:00,880
2022-01-10,16:00:00,920
2022-01-10,17:00:00,970
2022-01-10,18:00:00,460
2022-01-10,19:00:00,360
2022-01-10,20:00:00,520
2022-01-10,21:00:00,560
2022-01-10,22:00:00,310
2022-01-10,23:00:00,150
2022-01-11,00:00:00,460
2022-01-11,01:00:00,370
2022-01-11,02:00:00,360
2022-01-11,03:00:00,370
2022-01-11,04:00:00,370
2022-01-11,05:00:00,340
2022-01-11,06:00:00,340
2022-01-11,07:00:00,320
2022-01-11,08:00:00,260
2022-01-11,09:00:00,280
2022-01-11,10:00:00,260
2022-01-11,11:00:00,210
2022-01-11,12:00:00,180
2022-01-11,13:00:00,130
2022-01-11,14:00:00,120
2022-01-11,15:00:00,110
2022-01-11,16:00:00,140
2022-01-11,17:00:00,200
2022-01-11,18:00:00,150
