"Datum Tid (UTC)","Relativ Luftfuktighet","Molnbas (lägsta molnbas)"
"2022-01-01 01:00:00","98","0"
"2022-01-01 02:00:00","98","0"
"2022-01-01 03:00:00","98","0"
"2022-01-01 04:00:00","99","0"
"2022-01-01 05:00:00","95","0"
"2022-01-01 06:00:00","97","0"
"2022-01-01 07:00:00","93","0"
"2022-01-01 08:00:00","93","0"
"2022-01-01 09:00:00","94","0"
"2022-01-01 10:00:00","93","0"
"2022-01-01 11:00:00","94","0"
"2022-01-01 12:00:00","96","160"
"2022-01-01 13:00:00","97","120"
"2022-01-01 14:00:00","97","110"
"2022-01-01 15:00:00","97","80"
"2022-01-01 16:00:00","98","130"
"2022-01-01 17:00:00","98","230"
"2022-01-01 18:00:00","97","180"
"2022-01-01 19:00:00","97","240"
"2022-01-01 20:00:00","97","280"
"2022-01-01 21:00:00","97","270"
"2022-01-01 22:00:00","98","160"
"2022-01-01 23:00:00","98","480"
"2022-01-02 00:00:00","98","200"
"2022-01-02 01:00:00","99","120"
"2022-01-02 02:00:00","99","90"
"2022-01-02 03:00:00","99","70"
"2022-01-02 04:00:00","99","50"
"2022-01-02 05:00:00","99","50"
"2022-01-02 06:00:00","99","100"
"2022-01-02 07:00:00","99","100"
"2022-01-02 08:00:00","99","120"
"2022-01-02 09:00:00","99","60"
"2022-01-02 10:00:00","99","240"
"2022-01-02 11:00:00","99","50"
"2022-01-02 12:00:00","99","50"
"2022-01-02 13:00:00","99","220"
"2022-01-02 14:00:00","99","270"
"2022-01-02 15:00:00","99","330"
"2022-01-02 16:00:00","99","280"
"2022-01-02 17:00:00","99","250"
"2022-01-02 18:00:00","99","220"
"2022-01-02 19:00:00","99","250"
"2022-01-02 20:00:00","99","280"
"2022-01-02 21:00:00","99","270"
"2022-01-02 22:00:00","98","340"
"2022-01-02 23:00:00","94","280"
"2022-01-03 00:00:00","94","280"
"2022-01-03 01:00:00","95","260"
"2022-01-03 02:00:00","95","260"
"2022-01-03 03:00:00","94","400"
"2022-01-03 04:00:00","95","250"
"2022-01-03 05:00:00","96","210"
"2022-01-03 06:00:00","97","210"
"2022-01-03 07:00:00","97","230"
"2022-01-03 08:00:00","99","280"
"2022-01-03 09:00:00","97","180"
"2022-01-03 10:00:00","97","260"
"2022-01-03 11:00:00","97","170"
"2022-01-03 12:00:00","95","240"
"2022-01-03 13:00:00","96","370"
"2022-01-03 14:00:00","98","90"
"2022-01-03 15:00:00","98","390"
"2022-01-03 16:00:00","97","270"
"2022-01-03 17:00:00","97","320"
"2022-01-03 18:00:00","97","190"
"2022-01-03 19:00:00","97","170"
"2022-01-03 20:00:00","98","130"
"2022-01-03 21:00:00","98","570"
"2022-01-03 22:00:00","95","450"
"2022-01-03 23:00:00","87","0"
"2022-01-04 00:00:00","86","0"
"2022-01-04 01:00:00","83","0"
"2022-01-04 02:00:00","79","0"
"2022-01-04 03:00:00","77","0"
"2022-01-04 04:00:00","77","0"
"2022-01-04 05:00:00","78","0"
"2022-01-04 06:00:00","77","3270"
"2022-01-04 07:00:00","89","0"
"2022-01-04 08:00:00","93","0"
"2022-01-04 09:00:00","91","0"
"2022-01-04 10:00:00","91","750"
"2022-01-04 11:00:00","93","790"
"2022-01-04 12:00:00","91","850"
"2022-01-04 13:00:00","91","530"
"2022-01-04 14:00:00","91","800"
"2022-01-04 15:00:00","92","1320"
"2022-01-04 16:00:00","95","450"
"2022-01-04 17:00:00","96","640"
"2022-01-04 18:00:00","95","410"
"2022-01-04 19:00:00","95","650"
"2022-01-04 20:00:00","95","730"
"2022-01-04 21:00:00","96","730"
"2022-01-04 22:00:00","96","510"
"2022-01-04 23:00:00","97","610"
"2022-01-05 00:00:00","97","160"
"2022-01-05 01:00:00","97","70"
"2022-01-05 02:00:00","98","260"
"2022-01-05 03:00:00","99","750"
"2022-01-05 04:00:00","98","470"
"2022-01-05 05:00:00","98","720"
"2022-01-05 06:00:00","97","440"
"2022-01-05 07:00:00","94","440"
"2022-01-05 08:00:00","93","720"
"2022-01-05 09:00:00","89","730"
"2022-01-05 10:00:00","86","430"
"2022-01-05 11:00:00","82","500"
"2022-01-05 12:00:00","77","0"
"2022-01-05 13:00:00","75","0"
"2022-01-05 14:00:00","71","0"
"2022-01-05 15:00:00","76","0"
"2022-01-05 16:00:00","78","0"
"2022-01-05 17:00:00","77","0"
"2022-01-05 18:00:00","71","0"
"2022-01-05 19:00:00","71","0"
"2022-01-05 20:00:00","67","1310"
"2022-01-05 21:00:00","65","0"
"2022-01-05 22:00:00","60","2980"
"2022-01-05 23:00:00","59","0"
"2022-01-06 00:00:00","65","0"
"2022-01-06 01:00:00","68","0"
"2022-01-06 02:00:00","79","0"
"2022-01-06 03:00:00","86","0"
"2022-01-06 04:00:00","82","0"
"2022-01-06 05:00:00","87","0"
"2022-01-06 06:00:00","85","0"
"2022-01-06 07:00:00","89","0"
"2022-01-06 08:00:00","92","0"
"2022-01-06 09:00:00","92","0"
"2022-01-06 10:00:00","91","0"
"2022-01-06 11:00:00","88","0"
"2022-01-06 12:00:00","83","0"
"2022-01-06 13:00:00","76","0"
"2022-01-06 14:00:00","79","0"
"2022-01-06 15:00:00","88","0"
"2022-01-06 16:00:00","93","0"
"2022-01-06 17:00:00","83","0"
"2022-01-06 18:00:00","87","0"
"2022-01-06 19:00:00","91","0"
"2022-01-06 20:00:00","88","0"
"2022-01-06 21:00:00","88","0"
"2022-01-06 22:00:00","90","60"
"2022-01-06 23:00:00","92","70"
"2022-01-07 00:00:00","92","60"
"2022-01-07 01:00:00","91","80"
"2022-01-07 02:00:00","91","70"
"2022-01-07 03:00:00","91","80"
"2022-01-07 04:00:00","90","120"
"2022-01-07 05:00:00","90","120"
"2022-01-07 06:00:00","90","2090"
"2022-01-07 07:00:00","91","330"
"2022-01-07 08:00:00","91","1660"
"2022-01-07 09:00:00","91","1180"
"2022-01-07 10:00:00","92","1280"
"2022-01-07 11:00:00","93","500"
"2022-01-07 12:00:00","94","490"
"2022-01-07 13:00:00","94","350"
"2022-01-07 14:00:00","93","590"
"2022-01-07 15:00:00","93","450"
"2022-01-07 16:00:00","94","340"
"2022-01-07 17:00:00","94","470"
"2022-01-07 18:00:00","94","450"
"2022-01-07 19:00:00","94","510"
"2022-01-07 20:00:00","94","520"
"2022-01-07 21:00:00","95","560"
"2022-01-07 22:00:00","94","380"
"2022-01-07 23:00:00","95","170"
"2022-01-08 00:00:00","95","180"
"2022-01-08 01:00:00","95","250"
"2022-01-08 02:00:00","94","180"
"2022-01-08 03:00:00","94","240"
"2022-01-08 04:00:00","95","210"
"2022-01-08 05:00:00","95","170"
"2022-01-08 06:00:00","95","240"
"2022-01-08 07:00:00","95","370"
"2022-01-08 08:00:00","95","90"
"2022-01-08 09:00:00","96","330"
"2022-01-08 10:00:00","95","280"
"2022-01-08 11:00:00","94","240"
"2022-01-08 12:00:00","93","210"
"2022-01-08 13:00:00","93","240"
"2022-01-08 14:00:00","93","300"
"2022-01-08 15:00:00","94","340"
"2022-01-08 16:00:00","95","190"
"2022-01-08 17:00:00","96","330"
"2022-01-08 18:00:00","96","210"
"2022-01-08 19:00:00","95","200"
"2022-01-08 20:00:00","95","180"
"2022-01-08 21:00:00","95","180"
"2022-01-08 22:00:00","95","200"
"2022-01-08 23:00:00","95","210"
"2022-01-09 00:00:00","95","220"
"2022-01-09 01:00:00","95","230"
"2022-01-09 02:00:00","95","220"
"2022-01-09 03:00:00","95","280"
"2022-01-09 04:00:00","95","280"
"2022-01-09 05:00:00","95","250"
"2022-01-09 06:00:00","95","270"
"2022-01-09 07:00:00","94","270"
"2022-01-09 08:00:00","93","260"
"2022-01-09 09:00:00","93","1270"
"2022-01-09 10:00:00","93","330"
"2022-01-09 11:00:00","91","1460"
"2022-01-09 12:00:00","89","1500"
"2022-01-09 13:00:00","90","1470"
"2022-01-09 14:00:00","90","1470"
"2022-01-09 15:00:00","90","1490"
"2022-01-09 16:00:00","91","4770"
"2022-01-09 17:00:00","89","1520"
"2022-01-09 18:00:00","90","1570"
"2022-01-09 19:00:00","89","400"
"2022-01-09 20:00:00","89","420"
"2022-01-09 21:00:00","89","520"
"2022-01-09 22:00:00","87","570"
"2022-01-09 23:00:00","88","810"
"2022-01-10 00:00:00","87","640"
"2022-01-10 01:00:00","87","4740"
"2022-01-10 02:00:00","87","480"
"2022-01-10 03:00:00","84","550"
"2022-01-10 04:00:00","89","4460"
"2022-01-10 05:00:00","87","1200"
"2022-01-10 06:00:00","95","710"
"2022-01-10 07:00:00","95","1170"
"2022-01-10 08:00:00","94","0"
"2022-01-10 09:00:00","93","720"
"2022-01-10 10:00:00","93","710"
"2022-01-10 11:00:00","93","740"
"2022-01-10 12:00:00","93","760"
"2022-01-10 13:00:00","93","780"
"2022-01-10 14:00:00","92","830"
"2022-01-10 15:00:00","93","850"
"2022-01-10 16:00:00","92","880"
"2022-01-10 17:00:00","94","920"
"2022-01-10 18:00:00","94","970"
"2022-01-10 19:00:00","92","460"
"2022-01-10 20:00:00","90","360"
"2022-01-10 21:00:00","90","520"
"2022-01-10 22:00:00","93","560"
"2022-01-10 23:00:00","91","310"
"2022-01-11 00:00:00","94","150"
"2022-01-11 01:00:00","96","460"
"2022-01-11 02:00:00","92","370"
"2022-01-11 03:00:00","91","360"
"2022-01-11 04:00:00","89","370"
"2022-01-11 05:00:00","89","370"
"2022-01-11 06:00:00","90","340"
"2022-01-11 07:00:00","90","340"
"2022-01-11 08:00:00","90","320"
"2022-01-11 09:00:00","92","260"
"2022-01-11 10:00:00","92","280"
"2022-01-11 11:00:00","91","260"
"2022-01-11 12:00:00","91","210"
"2022-01-11 13:00:00","93","180"
"2022-01-11 14:00:00","94","130"
"2022-01-11 15:00:00","98","120"
"2022-01-11 16:00:00","98","110"
"2022-01-11 17:00:00","98","140"
"2022-01-11 18:00:00","99","200"
"2022-01-11 19:00:00","97","150"
"2022-01-11 20:00:00","97","190"
"2022-01-11 21:00:00","97","90"
"2022-01-11 22:00:00","97","180"
"2022-01-11 23:00:00","98","80"
"2022-01-12 00:00:00","98","60"
"2022-01-12 01:00:00","98","120"
"2022-01-12 02:00:00","98","170"
"2022-01-12 03:00:00","94","280"
"2022-01-12 04:00:00","92","0"
"2022-01-12 05:00:00","94","0"
"2022-01-12 06:00:00","96","0"
"2022-01-12 07:00:00","93","0"
"2022-01-12 08:00:00","92","0"
"2022-01-12 09:00:00","95","500"
"2022-01-12 10:00:00","89","380"
"2022-01-12 11:00:00","91","0"
"2022-01-12 12:00:00","91","340"
"2022-01-12 13:00:00","88","370"
"2022-01-12 14:00:00","87","390"
"2022-01-12 15:00:00","89","0"
"2022-01-12 16:00:00","89","0"
"2022-01-12 17:00:00","91","0"
"2022-01-12 18:00:00","91","0"
"2022-01-12 19:00:00","92","0"
"2022-01-12 20:00:00","93","0"
"2022-01-12 21:00:00","92","0"
"2022-01-12 22:00:00","91","0"
"2022-01-12 23:00:00","91","0"
"2022-01-13 00:00:00","93","0"
"2022-01-13 01:00:00","96","0"
"2022-01-13 02:00:00","94","0"
"2022-01-13 03:00:00","91","0"
"2022-01-13 04:00:00","84","0"
"2022-01-13 05:00:00","96","0"
"2022-01-13 06:00:00","99","0"
"2022-01-13 07:00:00","78","0"
"2022-01-13 08:00:00","75","0"
